ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,0.5,4.5,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,9.9m,50.0,1.0u,,4,,4,4,4,4
ISGS,,9.9m,50.0,1.0u,RV,5,,5,5,5,5
ISGS,,100n,30.0,1.0u,,6,,6,6,6,6
ISGS,,100n,30.0,1.0u,RV,7,,7,7,7,7
BVDSS,680,,250.0u,900.0,,8,8,,8,8,8
BVDSS,680,,250.0u,900.0,,10,10,,10,10,10
BVDSS,680,,1.0m,900.0,,12,12,,12,12,12
BVDSS,680,,10.0m,900.0,,14,14,,14,14,14
BVDSS,680,,25.0u,900.0,,16,16,,16,16,16
ABSDEL,,10,10.0,8.0,,18,,18,18,18,18
ABSDEL,,20,10.0,16.0,,19,,19,19,19,19
ABSDEL,,10,12.0,10.0,,20,,20,20,20,20
DIVID,0.8,1.2,12.0,10.0,,21,22,21,21,21,21
DIVID,0.8,1.2,14.0,12.0,,23,24,23,23,23,23
VTH,2.5,4.5,250.0u,0.0p,,25,26,25,25,25,25
ABSDEL,,0.2,2.0,25.0,,27,,27,27,27,27
RDON,,710m,1.0,10.0,,28,,32,28,28,28
RDON,,710m,6.0,10.0,,29,,34,29,29,29
VFSD,,1.2,1.0,0.0p,,36,,36,36,36,36
VFSD,0.6,1.2,12.0,0.0p,,37,38,37,37,37,37
IDSS,,0.2u,680.0,10.0u,,39,,39,39,39,39
ISGS,,100n,30.0,1.0u,,40,,40,40,40,40
ISGS,,100n,30.0,1.0u,RV,41,,41,41,41,41
