ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2.6,,250.0u,0.0p,,3,4,,3,3,3
ISGS,,1.5u,25.0,10.0u,,5,,5,5,5,5
ISGS,,1.5u,25.0,10.0u,RV,6,,6,6,6,6
ISGS,,1.5u,30.0,10.0u,,7,,7,7,7,7
ISGS,,1.5u,30.0,10.0u,RV,8,,8,8,8,8
BVDSS,530,,250.0u,900.0,,9,9,,9,9,9
BVDSS,530,,250.0u,900.0,,11,11,,11,11,11
BVDSS,530,,1.0m,900.0,,13,13,,13,13,13
BVDSS,530,,10.0m,900.0,,15,15,,15,15,15
BVDSS,530,,25.0u,900.0,,17,17,,17,17,17
ABSDEL,,10.0,11.0,9.0,,19,,19,19,19,19
ABSDEL,,20.0,11.0,17.0,,20,,20,20,20,20
ABSDEL,,10,11.0,13.0,,21,,21,21,21,21
DIVID,0.8,1.1,13.0,11.0,,22,23,22,22,22,22
DIVID,0.8,1.1,15.0,13.0,,24,25,24,24,24,24
VTH,2.6,4.4,250.0u,0.0p,,26,27,26,26,26,26
ABSDEL,,0.2,3.0,26.0,,28,,28,28,28,28
BVSGS,35,45,250.0u,200.0,,29,29,30,29,29,29
BVSGS,35,45,250.0u,200.0,RV,31,31,32,31,31,31
BVSGS,40,,10.0m,200.0,,33,33,,33,33,33
BVSGS,40,,10.0m,200.0,RV,34,34,,34,34,34
RDON,,1.49,2.5,10.0,,35,,35,35,35,35
VFSD,,0.43,50u,0.0p,,38,,38,38,38,38
VFSD,0.5,1.2,5.0,0.0p,,39,39,40,39,39,39
IDSS,,0.2u,525,1.0u,,41,,41,41,41,41
ISGS,,1.5u,25.0,10.0u,,42,,42,42,42,42
ISGS,,1.5u,25.0,10.0u,RV,43,,43,43,43,43
