ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2,4,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,9.9m,40.0,10.0u,,4,,4,4,4,4
ISGS,,9.9m,40.0,10.0u,RV,5,,5,5,5,5
ISGS,,70n,30.0,1.0u,,6,,6,6,6,6
ISGS,,70n,30.0,1.0u,RV,7,,7,7,7,7
RDON,,379m,5.5,10.0,,8,,10,8,8,8
BVDSS,615,,250.0u,990.0,,11,11,,11,11,11
BVDSS,615,,250.0u,990.0,,12,12,,12,12,12
BVDSS,615,,1.0m,990.0,,13,13,,13,13,13
BVDSS,615,,10.0m,990.0,,14,14,,14,14,14
BVDSS,615,,100.0u,990.0,,15,15,,15,15,15
VTH,2.1,3.9,250.0u,0.0p,,16,17,16,16,16,16
ABSDEL,,0.2,2.0,16.0,,18,,18,18,18,18
DIVID,0.9,1.1,13.0,12.0,,19,20,19,19,19,19
DIVID,0.9,1.1,14.0,13.0,,21,22,21,21,21,21
ABSDEL,,10,12.0,11.0,,23,,23,23,23,23
ABSDEL,,30,12.0,15.0,,24,,24,24,24,24
ABSDEL,,30,13.0,12.0,,25,,25,25,25,25
VFSD,0.5,1.3,1.0,0.0p,,26,27,26,26,26,26
VFSD,0.5,1.3,5.5,0.0p,,28,29,28,28,28,28
IDSS,,0.12u,600.0,1.0u,,30,,30,30,30,30
ISGS,,70n,30.0,1.0u,,31,,31,31,31,31
ISGS,,70n,30.0,1.0u,RV,32,,32,32,32,32
