ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2,4,250.0u,0.0p,,2,3,2,2,2,2
BVSGS,31,79,10.0m,200.0,,4,5,4,4,4,4
BVSGS,31,79,10.0m,200.0,RV,6,7,6,6,6,6
BVSGS,36,46,250.0u,200.0,,8,9,8,8,8,8
BVSGS,36,46,250.0u,200.0,RV,10,11,10,10,10,10
ISGS,,4u,25.0,10.0u,,12,,12,12,12,12
ISGS,,4u,25.0,10.0u,RV,13,,13,13,13,13
RDON,,579m,4.0,10.0,,14,,16,14,14,14
BVDSS,615,,250.0u,990.0,,17,17,,17,17,17
BVDSS,615,,250.0u,990.0,,19,19,,19,19,19
BVDSS,615,,1.0m,990.0,,21,21,,21,21,21
BVDSS,615,,10.0m,990.0,,23,23,,23,23,23
BVDSS,610,,100.0u,990.0,,25,25,,25,25,25
VTH,2,4,250.0u,0.0p,,27,28,27,27,27,27
ABSDEL,,0.2,2.0,27.0,,29,,29,29,29,29
DIVID,0.9,1.1,21.0,19.0,,30,31,30,30,30,30
DIVID,0.9,1.1,23.0,21.0,,32,33,32,32,32,32
ABSDEL,,10,19.0,17.0,,34,,34,34,34,34
ABSDEL,,30,19.0,25.0,,35,,35,35,35,35
ABSDEL,,30,21.0,19.0,,36,,36,36,36,36
VFSD,0.5,1.3,1.0,0.0p,,37,38,37,37,37,37
VFSD,0.5,1.3,4.0,0.0p,,39,40,39,39,39,39
IDSS,,0.5u,600.0,10.0u,,41,,41,41,41,41
ISGS,,4u,25.0,10.0u,,42,,42,42,42,42
ISGS,,4u,25.0,10.0u,RV,43,,43,43,43,43
