ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2,4,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,9.9m,40.0,10.0u,,4,,4,4,4,4
ISGS,,9.9m,40.0,10.0u,RV,5,,5,5,5,5
ISGS,,70n,30.0,1.0u,,6,,6,6,6,6
ISGS,,70n,30.0,1.0u,RV,7,,7,7,7,7
BVDSS,615.0,,250.0u,900.0,,8,8,,8,8,8
BVDSS,615.0,,250.0u,900.0,,10,10,,10,10,10
BVDSS,615.0,,1.0m,900.0,,12,12,,12,12,12
BVDSS,615.0,,10.0m,900.0,,14,14,,14,14,14
BVDSS,615.0,,100.0u,900.0,,16,16,,16,16,16
VTH,2.2,3.8,250.0u,0.0p,,18,19,18,18,18,18
ABSDEL,,0.2,2.0,18.0,,20,,20,20,20,20
DIVID,0.9,1.1,12.0,10.0,,21,22,21,21,21,21
DIVID,0.9,1.1,14.0,12.0,,23,24,23,23,23,23
ABSDEL,,10,10.0,8.0,,25,,25,25,25,25
ABSDEL,,30,10.0,16.0,,26,,26,26,26,26
ABSDEL,,30,12.0,10.0,,27,,27,27,27,27
RDON,,579m,1.0,10.0,,28,,30,28,28,28
RDON,,579m,4.0,10.0,,32,,34,32,32,32
VFSD,0.6,1.2,1.0,0.0p,,36,37,36,36,36,36
VFSD,0.6,1.2,8.0,0.0p,,38,39,38,38,38,38
IDSS,,0.12u,600.0,1.0u,,40,,40,40,40,40
ISGS,,70n,30.0,1.0u,,41,,41,41,41,41
ISGS,,70n,30.0,1.0u,RV,42,,42,42,42,42
