ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2.1,3.9,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,9.9m,40.0,10.0u,,4,,4,4,4,4
ISGS,,9.9m,40.0,10.0u,RV,5,,5,5,5,5
ISGS,,70n,30.0,1.0u,,6,,6,6,6,6
ISGS,,70n,30.0,1.0u,RV,7,,7,7,7,7
BVDSS,604,740,250.0u,900.0,,8,8,9,8,8,8
BVDSS,604,740,250.0u,900.0,,10,10,11,10,10,10
BVDSS,604,,1.0m,900.0,,12,12,,12,12,12
BVDSS,604,,10.0m,900.0,,14,14,,14,14,14
BVDSS,604,,25.0u,900.0,,16,16,,16,16,16
ABSDEL,,10,10.0,8.0,,18,,18,18,18,18
ABSDEL,,10,10.0,16.0,,19,,19,19,19,19
ABSDEL,,10,12.0,10.0,,20,,20,20,20,20
DIVID,0.55,1.45,12.0,10.0,,21,22,21,21,21,21
DIVID,0.55,1.45,14.0,12.0,,23,24,23,23,23,23
VTH,2.2,3.8,250.0u,0.0p,,25,26,25,25,25,25
ABSDEL,,0.2,2.0,25.0,,27,,27,27,27,27
RDON,,279m,1.0,10.0,,28,,28,28,28,28
RDON,,279m,7.5,10.0,,29,,29,29,29,29
VFSD,0.6,0.9,1.0,0.0p,,30,31,30,30,30,30
VFSD,0.6,1.2,15.0,0.0p,,32,33,32,32,32,32
IDSS,,0.2u,600.0,1.0u,,34,,34,34,34,34
ISGS,,70n,30.0,1.0u,,35,,35,35,35,35
ISGS,,70n,30.0,1.0u,RV,36,,36,36,36,36
