ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2.2,3.8,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,10m,23.0,9.0m,,4,,4,4,4,4
ISGS,,10m,23.0,9.0m,RV,5,,5,5,5,5
ISGS,,80n,20.0,1.0u,,6,,6,6,6,6
ISGS,,80n,20.0,1.0u,RV,7,,7,7,7,7
BVDSS,102,,250.0u,900.0,,8,8,,8,8,8
BVDSS,102,,250.0u,900.0,,10,10,,10,10,10
BVDSS,102,,3.0m,900.0,,12,12,,12,12,12
BVDSS,102,,10.0m,900.0,,14,14,,14,14,14
BVDSS,102,,25.0u,900.0,,16,16,,16,16,16
ABSDEL,,5,10.0,8.0,,18,,18,18,18,18
ABSDEL,,5,10.0,16.0,,19,,19,19,19,19
ABSDEL,,5,10.0,12.0,,20,,20,20,20,20
DIVID,0.9,1.1,12.0,10.0,,21,22,21,21,21,21
DIVID,0.9,1.1,14.0,12.0,,23,24,23,23,23,23
VTH,2.2,3.8,250.0u,0.0p,,25,26,25,25,25,25
ABSDEL,,0.2,2.0,25.0,,27,,27,27,27,27
RDON,,8.6m,3.0,10.0,,28,,28,28,28,28
HRDON,2m,8.6m,47.5,10.0,,29,30,29,29,29,29
VFSD,,1.1,3.0,0.0p,,31,,31,31,31,31
HVFSD+,0.5,1.1,95.0,0.0,,32,33,32,32,32,32
IDSS,,500n,100.0,2.0u,,34,,34,34,34,34
IDSS,,300n,80.0,2.0u,,35,,35,35,35,35
ISGS,,80n,20.0,0.5u,,36,,36,36,36,36
ISGS,,80n,20.0,0.5u,RV,37,,37,37,37,37
ISGS,,50n,16.0,0.5u,,38,,38,38,38,38
ISGS,,50n,16.0,0.5u,RV,39,,39,39,39,39
