ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,1,3,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,10m,23.0,1.0m,,4,,4,4,4,4
ISGS,,10m,23.0,1.0m,RV,5,,5,5,5,5
ISGS,,90n,20.0,1.0u,,6,,6,6,6,6
ISGS,,90n,20.0,1.0u,RV,7,,7,7,7,7
RDON,,16.5m,20.0,10.0,,8,,8,8,8,8
RDON,,24.5m,10.0,4.5,,10,,10,10,10,10
BVDSS,40,,250.0u,200.0,,12,12,,12,12,12
BVDSS,40,,250.0u,200.0,,14,14,,14,14,14
BVDSS,40,,1.0m,200.0,,16,16,,16,16,16
BVDSS,40,,10.0m,200.0,,18,18,,18,18,18
BVDSS,40,,25.0u,200.0,,20,20,,20,20,20
VTH,1.2,2.8,250.0u,0.0p,,22,23,22,22,22,22
ABSDEL,,0.2,2.0,22.0,,24,,24,24,24,24
DIVID,0.8,1.1,16.0,14.0,,25,26,25,25,25,25
DIVID,0.8,1.1,18.0,16.0,,27,28,27,27,27,27
ABSDEL,,5,14.0,12.0,,29,,29,29,29,29
ABSDEL,,5,14.0,20.0,,30,,30,30,30,30
ABSDEL,,5,16.0,14.0,,31,,31,31,31,31
VFSD,0.4,1.1,20.0,0.0p,,32,33,32,32,32,32
IDSS,,300n,40.0,1.0u,,34,,34,34,34,34
ISGS,,90n,20.0,1.0u,,35,,35,35,35,35
ISGS,,90n,20.0,1.0u,RV,36,,36,36,36,36
