ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2,3.5,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,10m,23.0,100.0u,,6,,6,6,6,6
ISGS,,10m,23.0,100.0u,RV,7,,7,7,7,7
ISGS,,90n,20.0,1.0u,,8,,8,8,8,8
ISGS,,90n,20.0,1.0u,RV,9,,9,9,9,9
BVDSS,102,,250.0u,300.0,,10,10,,10,10,10
BVDSS,102,,250.0u,300.0,,12,12,,12,12,12
BVDSS,102,,3.0m,300.0,,14,14,,14,14,14
BVDSS,102,,10.0m,300.0,,16,16,,16,16,16
BVDSS,102,,25.0u,300.0,,18,18,,18,18,18
ABSDEL,,3,12.0,10.0,,20,,20,20,20,20
ABSDEL,,5,12.0,18.0,,21,,21,21,21,21
ABSDEL,,5,14.0,12.0,,22,,22,22,22,22
DIVID,0.9,1.1,14.0,12.0,,23,24,23,23,23,23
DIVID,0.9,1.1,16.0,14.0,,25,26,25,25,25,25
VTH,2.1,3.5,250.0u,0.0p,,27,28,27,27,27,27
ABSDEL,,0.2,2.0,27.0,,29,,29,29,29,29
RDON,,10m,14.0,6.0,,30,,30,30,30,30
HRDON,,8.6m,27.5,10.0,,31,,31,31,31,31
VFSD,,1.4,3.0,0.0p,,32,,32,32,32,32
HVFSD+,0.6,1.4,33.0,0.0,,33,34,33,33,33,33
IDSS,,0.1u,100.0,1.0u,,35,,35,35,35,35
ISGS,,100n,20.0,1.0u,,36,,36,36,36,36
ISGS,,100n,20.0,1.0u,RV,37,,37,37,37,37
