ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2.1,3.9,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,10m,23.0,10.0u,,4,,4,4,4,4
ISGS,,10m,23.0,10.0u,RV,5,,5,5,5,5
ISGS,,80n,20.0,1.0u,,6,,6,6,6,6
ISGS,,80n,20.0,1.0u,RV,7,,7,7,7,7
BVDSS,103,180,250.0u,300.0,,8,8,9,8,8,8
BVDSS,103,180,250.0u,300.0,,10,10,11,10,10,10
BVDSS,103,180,3.0m,300.0,,12,12,13,12,12,12
BVDSS,103,180,10.0m,300.0,,14,14,15,14,14,14
BVDSS,103,180,25.0u,300.0,,16,16,17,16,16,16
ABSDEL,,3,10.0,8.0,,18,,18,18,18,18
ABSDEL,,5,10.0,16.0,,19,,19,19,19,19
ABSDEL,,5,12.0,10.0,,20,,20,20,20,20
DIVID,0.9,1.1,12.0,10.0,,21,22,21,21,21,21
DIVID,0.9,1.1,14.0,12.0,,23,24,23,23,23,23
VTH,2.1,3.9,250.0u,0.0p,,25,26,25,25,25,25
ABSDEL,,0.2,2.0,25.0,,27,,27,27,27,27
RDON,,12m,14.0,6.0,,28,,28,28,28,28
HRDON,,8.6m,27.5,10.0,,29,,29,29,29,29
VFSD,,1.2,3.0,0.0p,,30,,30,30,30,30
HVFSD+,0.6,1.2,33.0,0.0,,31,32,31,31,31,31
IDSS,,0.1u,100.0,1.0u,,33,,33,33,33,33
ISGS,,90n,20.0,1.0u,,34,,34,34,34,34
ISGS,,90n,20.0,1.0u,RV,35,,35,35,35,35
IDON,,0.5u,20.0,1.0,,36,,36,36,36,36
