ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2,3.5,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,10m,23.0,100.0u,,4,,4,4,4,4
ISGS,,10m,23.0,100.0u,RV,5,,5,5,5,5
ISGS,,90n,20.0,1.0u,,7,,7,7,7,7
ISGS,,90n,20.0,1.0u,RV,8,,8,8,8,8
BVDSS,102,,250.0u,300.0,,9,9,,9,9,9
BVDSS,102,,250.0u,300.0,,11,11,,11,11,11
BVDSS,102,,3.0m,300.0,,13,13,,13,13,13
BVDSS,102,,10.0m,300.0,,15,15,,15,15,15
BVDSS,102,,25.0u,300.0,,17,17,,17,17,17
ABSDEL,,3,11.0,9.0,,19,,19,19,19,19
ABSDEL,,5,11.0,17.0,,20,,20,20,20,20
ABSDEL,,5,13.0,11.0,,21,,21,21,21,21
DIVID,0.9,1.1,13.0,11.0,,22,23,22,22,22,22
DIVID,0.9,1.1,15.0,13.0,,24,25,24,24,24,24
VTH,2.1,3.5,250.0u,0.0p,,26,27,26,26,26,26
ABSDEL,,0.2,2.0,26.0,,28,,28,28,28,28
RDON,,10m,14.0,6.0,,29,,29,29,29,29
HRDON,,8.6m,27.5,10.0,,30,,30,30,30,30
VFSD,,1.4,3.0,0.0p,,31,,31,31,31,31
HVFSD+,0.6,1.4,33.0,0.0,,32,,32,32,32,32
IDSS,,0.1u,100.0,1.0u,,34,,34,34,34,34
ISGS,,100n,20.0,1.0u,,35,,35,35,35,35
ISGS,,100n,20.0,1.0u,RV,36,,36,36,36,36
